hotel_name,hotel_rating,num_reviews,review,dist_centre
Jabal Omar Hyatt Regency Makkah,8.4,"21,111 reviews",Very good,0.5 km from centre
Midan Hotel,8.7,"3,135 reviews",Fabulous,3 km from centre
M Hotel Makkah by Millennium,7.8,"5,439 reviews",Good,2.7 km from centre
Makarem Ajyad Makkah Hotel,8.1,"2,654 reviews",Very good,0.6 km from centre
Mövenpick Hotel & Residence Hajar Tower Makkah,8.1,"9,298 reviews",Very good,0.3 km from centre
Le Meridien Makkah,7.8,"5,206 reviews",Good,0.4 km from centre
Park Inn by Radisson Makkah Aziziyah,7.9,"6,154 reviews",Good,6 km from centre
Violet Al Shisha Hotel,8.4,"5,056 reviews",Very good,2.8 km from centre
Copthorne Makkah Al Naseem,8.2,"1,162 reviews",Very good,6.7 km from centre
Holiday Suites Al Aziziah,8.1,"10,410 reviews",Very good,3.6 km from centre
Jabal Omar Marriott Hotel Makkah,7.8,"2,569 reviews",Good,0.8 km from centre
"Dar Al Tawhid Intercontinental Makkah, an IHG Hotel",8.8,"5,274 reviews",Fabulous,0.4 km from centre
Sheraton Makkah Jabal Al Kaaba Hotel,7.6,"1,601 reviews",Good,0.8 km from centre
Park Inn by Radisson Makkah Al Naseem,7.9,"10,633 reviews",Good,6.5 km from centre
Hilton Suites Makkah,8.8,"7,971 reviews",Fabulous,0.5 km from centre
Makarem Umm Al Qura Hotel,7.7,"6,769 reviews",Good,2.2 km from centre
Conrad Makkah,8.8,"7,892 reviews",Fabulous,0.6 km from centre
Hilton Makkah Convention Hotel,8.2,"7,198 reviews",Very good,0.6 km from centre
M Hotel Al Dana Makkah by Millennium,8.5,"1,755 reviews",Very good,3.2 km from centre
Snood Al Azama Hotel,7.3,"2,696 reviews",Good,5.5 km from centre
Elaf Kinda Hotel,8.0,"6,396 reviews",Very good,0.5 km from centre
Elaf Al Mashaer Hotel Makkah,7.5,"4,078 reviews",Good,0.7 km from centre
Violet Al Azizia Hotel,8.5,"6,800 reviews",Very good,2.9 km from centre
Olayan Diamond Hotel - Al Maabda,8.5,"1,298 reviews",Very good,2.5 km from centre
Four Points by Sheraton Makkah Al Naseem,8.5,"13,401 reviews",Very good,6.8 km from centre
