hotel_name,hotel_rating,num_reviews,review,dist_centre
Batoul Ajyad Hotel,7.6,"2,274 reviews",Good,1.7 km from centre
Hilton Suites Makkah,8.8,"7,971 reviews",Fabulous,0.5 km from centre
Millennium Makkah Al Naseem,8.2,"5,209 reviews",Very good,6.6 km from centre
Snood Al salam,7.8,"1,882 reviews",Good,3.3 km from centre
Lamar Ajyad Hotel,7.8,"2,777 reviews",Good,2.5 km from centre
Sonood Alryan Hotel,7.8,"1,932 reviews",Good,1.5 km from centre
Conrad Makkah,8.8,"7,885 reviews",Fabulous,0.6 km from centre
Makkah Towers,8.1,"6,269 reviews",Very good,0.3 km from centre
Sadan Plaza,7.2,498 reviews,Good,1.5 km from centre
Lamar Ajyad Hotel 2 - Tower B,7.8,"2,576 reviews",Good,2.4 km from centre
Doubletree By Hilton Makkah Jabal Omar,8.6,"1,210 reviews",Fabulous,0.8 km from centre
  Alrawda Almakyah Hotel,8,244 reviews,Very good,2.4 km from centre
Al Waleed Tower Hotel,8.2,"2,879 reviews",Very good,5 km from centre
Borj Al Deafah Hotel,7.5,632 reviews,Good,1.4 km from centre
Lahzat Alahlam Hotel ,8.5,39 reviews,Very good,19.2 km from centre
Makkah Hotel,8.7,"4,749 reviews",Fabulous,0.3 km from centre
Amjad Al Deafah Hotel,7.8,"1,644 reviews",Good,1.4 km from centre
Al Kiswah Towers Hotel,8.2,"4,750 reviews",Very good,1.5 km from centre
Nadir Plaza,7.4,91 reviews,Good,1.7 km from centre
Rose Hotel ,8.7,"1,107 reviews",Fabulous,3 km from centre
Alsafwah Plaza Hotel ,6.9,60 reviews,Review score,3.1 km from centre
Rafaf Almashaer Hotel ,7.2,"23,718 reviews",Good,5.3 km from centre
